t,x,y,z
17100,-1919.335,-5840.548,2992.120
17130,-1749.728,-5813.760,3143.864
17160,-1578.158,-5780.447,3292.070
17190,-1404.816,-5740.648,3436.572
17220,-1229.897,-5694.406,3577.206
17250,-1053.599,-5641.775,3713.814
17280,-876.119,-5582.813,3846.243
17310,-697.655,-5517.587,3974.345
17340,-518.409,-5446.170,4097.975
17370,-338.581,-5368.644,4216.994
17400,-158.373,-5285.094,4331.270
17430,22.012,-5195.616,4440.673
17460,202.373,-5100.310,4545.080
17490,382.507,-4999.284,4644.375
17520,562.211,-4892.650,4738.447
17550,741.285,-4780.529,4827.189
17580,919.528,-4663.047,4910.503
17610,1096.740,-4540.336,4988.294
17640,1272.721,-4412.534,5060.476
17670,1447.276,-4279.784,5126.967
17700,1620.208,-4142.235,5187.694
17730,1791.323,-4000.042,5242.589
17760,1960.431,-3853.365,5291.589
17790,2127.340,-3702.368,5334.640
17820,2291.864,-3547.220,5371.693
17850,2453.819,-3388.096,5402.708
17880,2613.024,-3225.174,5427.649
17910,2769.299,-3058.636,5446.489
17940,2922.470,-2888.670,5459.206
17970,3072.366,-2715.465,5465.787
18000,3218.817,-2539.217,5466.223
18030,3361.660,-2360.123,5460.515
18060,3500.735,-2178.383,5448.669
18090,3635.886,-1994.202,5430.698
18120,3766.961,-1807.784,5406.622
18150,3893.813,-1619.341,5376.468
18180,4016.300,-1429.082,5340.270
18210,4134.285,-1237.221,5298.068
18240,4247.636,-1043.973,5249.910
18270,4356.224,-849.554,5195.849
18300,4459.928,-654.183,5135.947
18330,4558.631,-458.079,5070.270
18360,4652.223,-261.461,4998.892
18390,4740.599,-64.550,4921.893
18420,4823.658,132.434,4839.358
18450,4901.308,329.269,4751.382
18480,4973.461,525.735,4658.061
18510,5040.037,721.611,4559.502
18540,5100.959,916.678,4455.814
18570,5156.159,1110.717,4347.113
18600,5205.576,1303.510,4233.523
18630,5249.153,1494.841,4115.170
18660,5286.841,1684.494,3992.187
18690,5318.597,1872.257,3864.713
18720,5344.386,2057.920,3732.890
18750,5364.178,2241.274,3596.866
18780,5377.951,2422.113,3456.795
18810,5385.689,2600.234,3312.835
18840,5387.383,2775.436,3165.145
18870,5383.031,2947.524,3013.894
18900,5372.638,3116.304,2859.251
18930,5356.215,3281.587,2701.390
18960,5333.780,3443.186,2540.488
18990,5305.359,3600.921,2376.726
19020,5270.984,3754.615,2210.290
19050,5230.692,3904.094,2041.366
19080,5184.530,4049.191,1870.144
19110,5132.548,4189.744,1696.818
19140,5074.806,4325.594,1521.581
19170,5011.369,4456.590,1344.632
19200,4942.308,4582.584,1166.170
19230,4867.700,4703.436,986.395
19260,4787.629,4819.009,805.510
19290,4702.186,4929.175,623.719
19320,4611.468,5033.810,441.226
19350,4515.575,5132.797,258.237
19380,4414.617,5226.026,74.957
19410,4308.706,5313.393,-108.408
19440,4197.963,5394.800,-291.650
19470,4082.511,5470.156,-474.564
19500,3962.482,5539.378,-656.945
19530,3838.009,5602.389,-838.587
19560,3709.233,5659.119,-1019.286
19590,3576.300,5709.506,-1198.839
19620,3439.358,5753.493,-1377.045
19650,3298.562,5791.032,-1553.704
19680,3154.070,5822.083,-1728.616
19710,3006.044,5846.611,-1901.587
